,full_text,created_at
32,"-OPEN TRIP AGUST D in JAKARTA-

📍 Cikarang-Cibitung-Tambun-Bekasi-Jakarta Timur (Jaktim)
🗓 26, 27, 28 Mei 2023
📌 Harga termasuk pulang-pergi (pp)
✨ Lebih hemat &amp; praktis pokonya sob😭👍

𝐈𝐧𝐟𝐨 𝐥𝐞𝐧𝐠𝐤𝐚𝐩 𝐚𝐝𝐚 𝐝𝐢 𝐠𝐟𝐨𝐫𝐦🙌
https://t.co/kw3JUYX54j https://t.co/ZxfqCTvCsR",2023-03-31 14:53:23+00:00
33,kereta ke cikarang pagi selalu paling sepi https://t.co/aMJ3yyW1K6,2023-03-26 22:05:26+00:00
34,"cikarang 
blom hengkang kok
🤪 https://t.co/dlx9dZSHwQ",2023-04-01 07:44:33+00:00
35,"#LokerPam - Kim Pai Group &amp; Dynapack Asia Group - Finance &amp; Accounting Supervisor - Jababeka, Cikarang https://t.co/DKAC49on0c",2023-04-04 09:38:49+00:00
36,jamet cikarang 😞💗 https://t.co/WlNukM89cw,2023-03-26 16:07:58+00:00
37,"Alhamdulillah..di bulan Ramadhan tahun ini DPD PSI Kabupaten Bekasi melalui DPC PSI Cikarang Timur masih bisa mewakafkan Al Quran ke sejumlah Mushola di Cikarang Timur.
@psi_id 
@syahril_anggara 

#SolidaritasRamadhan
❤️❤️🌹🌹 https://t.co/WnOvQfx7fI",2023-04-04 01:29:10+00:00
38,dikira bjm ke cikarang 15 menit sampe kali ya https://t.co/HEOQaojOX0,2023-04-02 13:43:44+00:00
39,"@jendeuqi @worksfess Nih tempat daftar kerja magang ke jepang, ijasah minimal SMA/SMK, https://t.co/FQLubGoiPn ada dana talangan, keluar uang cuma untuk ongkos mondar-mandir ke tempatnya aja di cikarang, sama nanti untuk Biaya MCU. Rp 1 jtan.",2023-03-28 00:05:54+00:00
40,"Bersama Milenial dan Perempuan, PKS Jatim Semarakkan Ramadhan 1444H https://t.co/Jd2B49DByv https://t.co/golNLLp7Tj",2023-03-29 06:55:36+00:00
41,"@SeputarTetangga Buat orang yg kaya gini kita sebagai pemilik kontrakan emang kudu tegas, jangan pake kata ga enakan, gw sering nih nemuin pengontrak yg model gini, sejak covid uang kontrakan diturunin, karena cari duit makin susah, tapi bayar y makin seenaknya, akhirnya gw suruh keluar besoknya",2023-04-02 15:47:31+00:00
42,📍cikarang https://t.co/R3njo9udTT,2023-04-01 17:10:51+00:00
43,"------------------------------
🅵🅾🅻🅻🅾🆆 🅼🅴

@Rere_chan95
@RereSexy2
@Re2Sexy
@MisRere__
@ShintiaLie__

🅱🅰🆂🅴  BEKASI
Karawang 29-30
Cikarang  1-2 
Jaksel 3-4 https://t.co/4fzaDBVsOX",2023-03-29 06:35:03+00:00
44,"Cikarang sange, ada top g si #gaycikarang",2023-04-03 16:39:41+00:00
45,"Coba cek ini di Tokopedia, deh. Harganya Rp300.000
https://t.co/MoR1rRVDNZ

#SCBD #MegaKuningan #KuninganCity #RasunaSaid #Cikarang #Aula #Perkantoran #Pertokoan #Industri #Apartemen #Bank #Sekolah #Klinik #Hotel #Masjid #Gereja #Vihara #Klenteng #TBSimatupang #Sudirman #Thamrin https://t.co/ysovGHkOYy",2023-04-03 02:12:09+00:00
46,"sunwoo cikarang, changmin jaksel https://t.co/Quf2SYQzhM",2023-03-31 10:56:02+00:00
47,"DP untuk hari ini #availbekasi #Expobekasi ❤️
Masih ada slot kosong ya untuk nanti malem 😊 https://t.co/73BAvQhadl",2023-03-28 04:48:50+00:00
48,"Alhamdulillah masuk DP untuk #Expojaksel tanggal 5 malam
Besok masih #Availcikarang ya beb masih ada slot kosong 🫰❤️ https://t.co/ir9YYBRPDQ",2023-03-31 06:31:57+00:00
49,"#FRrere ❤️❤️❤️
Beda client beda pendapat.. https://t.co/9byewN1kBb",2023-03-30 12:43:39+00:00
50,"hay Cikarang... aku hari ini move Cikarang loh 🤗🤗
jamkosong di jam 9 malem sampe cek out .. cm untuk 1 org aja yaa..
yukkk gercep keep dp nya🏧.. yg mau echa pijitin sebelum bobo.. 🥰🥰
#expomedan 5-8 april https://t.co/GGi8eN1hxa",2023-04-01 04:21:16+00:00
51,"@cowdle @Askrlfess 'Target marketnya bukan orang lokal'

Ya trus ngapain buka di Cikarang anj. Udah tau warga Cikarang kebanyakan akamsi. Banned permanen aja itu restonya, nyebelin, diskriminatif banget",2023-03-30 12:13:18+00:00
52,"C adalah kode rute untuk KRL Lin Lingkar Cikarang

Senarai lengkapnya boleh dicek disini: https://t.co/FYOuTPyawx",2023-04-03 03:49:20+00:00
53,@adriansyahyasin tanda C dilingkari artinya apa mas,2023-04-03 03:13:48+00:00
54,"Semarakkan Ramadhan, PKS Banda Aceh Gelar Mukhayyam Al-Qur’an https://t.co/cqV4sqTMGx https://t.co/QxpjBpj5JC",2023-03-29 06:55:38+00:00
55,PKS Minta KPK Usut Dugaan Korupsi Dana Tukin di Lembaga Lain https://t.co/SCdE9yxhln https://t.co/K4USBm3upH,2023-03-29 06:55:43+00:00
56,"━───────┈┈┈┈┈⭒⭑
   𔘓 @Rere_chan95
   𔘓 @Re2Sexy
   𔘓 @ShintiaLie__
   𔘓 @MisRere__
   𔘓 @RereSexy2
   
●●➔
https://t.co/YrrYgTULlI
Karawang  29-30
Cikarang 1-2 
Jakpus 3-4

         ☾ ━ Base BEKASI / VCS https://t.co/ylcRrEYbz2",2023-03-29 03:37:42+00:00
